Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         210000	       206	80000212	48f18013	addi	x0,x3,1167	  x3:0x400a9c73  x0=0x00000000
         212000	       208	80000216	f4e40683	lb	x13,-178(x8)	  x8:0x80003f0b x13=0xfffffff3 PA:0x80003e59 load:0xfffffff3
         216000	       212	8000021a	fbc45003	lhu	x0,-68(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003ec7 load:0x0000a27a
         217000	       213	8000021e	3e8b3193	sltiu	x3,x22,1000	 x22:0x0000524e  x3=0x00000000
         218000	       214	80000222	6149	c.addi16sp	x2,144	  x2:0x000001ff  x2=0x0000028f
         220000	       216	80000224	ff440f23	sb	x20,-2(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f09 store:0x80000000 load:0x00000000
         222000	       218	80000228	fe141b03	lh	x22,-31(x8)	  x8:0x80003f0b x22=0xffff8d13 PA:0x80003eec load:0xffff8d13
         224000	       220	8000022c	0e242ca3	sw	x2,249(x8)	  x8:0x80003f0b  x2:0x0000028f PA:0x80004004 store:0x0000028f load:0x00000000
         226000	       222	80000230	05440023	sb	x20,64(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f4b store:0x80000000 load:0x00000000
         230000	       226	80000234	fdc45003	lhu	x0,-36(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003ee7 load:0x0000b06d
         232000	       228	80000238	fd440ea3	sb	x20,-35(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003ee8 store:0x80000000 load:0x00000000
         234000	       230	8000023c	04942a83	lw	x21,73(x8)	  x8:0x80003f0b x21=0xe1b99538 PA:0x80003f54 load:0xe1b99538
         235000	       231	80000240	41735cb3	sra	x25,x6,x23	  x6:0x00000000 x23:0x00000000 x25=0x00000000
         236000	       232	80000244	88703c13	sltiu	x24,x0,-1913	  x0:0x00000000 x24=0x00000001
         237000	       233	80000248	01ac6b33	or	x22,x24,x26	 x24:0x00000001 x26:0x00000000 x22=0x00000001
         238000	       234	8000024c	00d80fb3	add	x31,x16,x13	 x16:0xfffffffc x13:0xfffffff3 x31=0xffffffef
         239000	       235	80000250	86fd	c.srai	x13,0x1f	 x13:0xfffffff3 x13=0xffffffff
         240000	       236	80000252	b9b3c613	xori	x12,x7,-1125	  x7:0x03242825 x12=0xfcdbd3be
         241000	       237	80000256	95aa	c.add	x11,x10	 x11:0x00000001 x10:0x8000fc84 x11=0x8000fc85
         242000	       238	80000258	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         279000	       275	8000025a	02cc5433	divu	x8,x24,x12	 x24:0x00000001 x12:0xfcdbd3be  x8=0x00000000
         280000	       276	8000025e	8df1	c.and	x11,x12	 x11:0x8000fc85 x12:0xfcdbd3be x11=0x8000d084
         281000	       277	80000260	54d57d93	andi	x27,x10,1357	 x10:0x8000fc84 x27=0x00000404
         282000	       278	80000264	6135	c.addi16sp	x2,352	  x2:0x0000028f  x2=0x000003ef
         286000	       282	80000266	021d1fb3	mulh	x31,x26,x1	 x26:0x00000000  x1:0xf2fd1ee7 x31=0x00000000
         287000	       283	8000026a	009b0863	beq	x22,x9,8000027a	 x22:0x00000001  x9:0x00000000
         288000	       284	8000026e	8d81ec37	lui	x24,0x8d81e	 x24=0x8d81e000
         289000	       285	80000272	0dfa	c.slli	x27,0x1e	 x27:0x00000404 x27=0x00000000
         290000	       286	80000274	86b9	c.srai	x13,0xe	 x13:0xffffffff x13=0xffffffff
         291000	       287	80000276	016e7233	and	x4,x28,x22	 x28:0xf142b8eb x22:0x00000001  x4=0x00000001
         293000	       289	8000027a	00457c63	bgeu	x10,x4,80000292	 x10:0x8000fc84  x4:0x00000001
         296000	       292	80000292	418b58b3	sra	x17,x22,x24	 x22:0x00000001 x24:0x8d81e000 x17=0x00000001
         297000	       293	80000296	4185	c.li	x3,1	  x3=0x00000001
         298000	       294	80000298	c199	c.beqz	x11,8000029e	 x11:0x8000d084
         299000	       295	8000029a	40ec8033	sub	x0,x25,x14	 x25:0x00000000 x14:0x601ae1f8  x0=0x00000000
         300000	       296	8000029e	8ba5	c.andi	x15,9	 x15:0x00000001 x15=0x00000001
         301000	       297	800002a0	01cb2333	slt	x6,x22,x28	 x22:0x00000001 x28:0xf142b8eb  x6=0x00000000
         302000	       298	800002a4	01a3d213	srli	x4,x7,0x1a	  x7:0x03242825  x4=0x00000000
         304000	       300	800002a8	007a9663	bne	x21,x7,800002b4	 x21:0xe1b99538  x7:0x03242825
         306000	       302	800002b4	014a	c.slli	x2,0x12	  x2:0x000003ef  x2=0x0fbc0000
